Department,NRMSE 0-19 Training (same-as val),NRMSE All Training (same-as val),NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.0255923237721679,0.01639277018318939,0.0255923237721679,0.01639277018318939,2.609503877699787,2.4526689447678147
Acre,0.056165869674145864,0.031136093596918997,0.056165869674145864,0.031136093596918997,14.073752202704265,9.735157640496077
Amazonas,0.16493792953419564,0.016427604849698487,0.16493792953419564,0.016427604849698487,1.579489324058197,2.4585410166129975
Roraima,0.015416786063710457,0.004786178505802923,0.015416786063710457,0.004786178505802923,1.2335051909978132,3.0983516035549354
Pará,0.06950447693746895,0.008772087103647828,0.06950447693746895,0.008772087103647828,1.8662484273843745,4.987698151396059
Amapá,0.02298477466103546,0.011698416543202658,0.02298477466103546,0.011698416543202658,2.2434349036010386,3.906660957084245
Tocantins,0.012049246979771716,0.08673491406517346,0.012049246979771716,0.08673491406517346,1.5784950582320512,1.90127745938325
Maranhão,0.029322734836948392,0.005853866456500906,0.029322734836948392,0.005853866456500906,1.6320750825821684,1.952182791436077
Piauí,0.028785067041512853,0.013845703062124355,0.028785067041512853,0.013845703062124355,6.1575745651962706,1.8825690295149748
Ceará,0.018338291167474017,0.006495214157225126,0.018338291167474017,0.006495214157225126,1.6606646528387048,2.289237326397768
Rio Grande do Norte,0.02681022239670452,0.004968930338185828,0.02681022239670452,0.004968930338185828,2.3279422329179575,2.5649289777597257
Paraíba,0.17164882947161567,0.011174852231784993,0.17164882947161567,0.011174852231784993,4.439455330754928,1.2192495968987023
Pernambuco,0.03266844275131383,0.005194787509971826,0.03266844275131383,0.005194787509971826,1.3638408690406374,1.4337380016477674
Alagoas,0.012871055053443716,0.05203685306680495,0.012871055053443716,0.05203685306680495,2.2887166634392586,1.8955159991166266
Sergipe,0.20337078922277838,0.024336120038363242,0.20337078922277838,0.024336120038363242,9.655449954021691,3.741851454693735
Bahia,0.029280576981320753,0.006152251634199312,0.029280576981320753,0.006152251634199312,1.7187730869227504,2.2619313163395898
Minas Gerais,0.018125720595592826,0.013259060437609134,0.018125720595592826,0.013259060437609134,4.416316247123015,2.981950935832117
Espírito Santo,0.04771534914916499,0.011710126667347893,0.04771534914916499,0.011710126667347893,1.294161174337593,3.2155033652021365
Rio de Janeiro,0.04133328498915915,0.006204582727916047,0.04133328498915915,0.006204582727916047,1.4311611303939022,5.2596590393984295
São Paulo,0.027880616563638147,0.006288835683910228,0.027880616563638147,0.006288835683910228,2.09271997807213,4.674400602981589
Paraná,0.016679910250869172,0.003582016072791902,0.016679910250869172,0.003582016072791902,1.1434331935854043,1.9312093083007411
Santa Catarina,0.018349496642661903,0.00585438527258564,0.018349496642661903,0.00585438527258564,1.7223643680338183,1.5278596907874575
Rio Grande do Sul,0.028514625903517023,0.00966297782043949,0.028514625903517023,0.00966297782043949,2.2900058664320673,3.33700132025124
Mato Grosso do Sul,0.03987114654743004,0.018208021346753523,0.03987114654743004,0.018208021346753523,6.1386178999275245,6.036643300495773
Mato Grosso,0.02721396070635231,0.006658243190103431,0.02721396070635231,0.006658243190103431,1.9252719170080939,2.1982773800100794
Goiás,0.027280654853224225,0.03510933149980944,0.027280654853224225,0.03510933149980944,13.565127239129602,3.3209138848791304
Distrito Federal,0.0,0.01866425023832542,0.0,0.01866425023832542,1.5591411140214078,0.49426651068242977
